DateTime,Open,High,Low,Close
2006-01-02 16:00:00,1.1815,1.1845,1.1815,1.1838
2006-01-02 20:00:00,1.1839,1.1881,1.1837,1.1881
2006-01-03 00:00:00,1.1882,1.1909,1.1873,1.1885
2006-01-03 04:00:00,1.1884,1.1897,1.1863,1.1877
2006-01-03 08:00:00,1.1876,1.1986,1.1867,1.198
2006-01-03 12:00:00,1.1979,1.2031,1.1964,1.2016
2006-01-03 16:00:00,1.2015,1.2052,1.2007,1.2035
2006-01-03 20:00:00,1.2034,1.2084,1.2029,1.2066
2006-01-04 00:00:00,1.2065,1.2075,1.2034,1.2053
2006-01-04 04:00:00,1.2054,1.2114,1.2045,1.2089
2006-01-04 08:00:00,1.209,1.2109,1.2068,1.2091
2006-01-04 12:00:00,1.2092,1.2147,1.2089,1.2129
2006-01-04 16:00:00,1.213,1.2132,1.2104,1.2112
2006-01-04 20:00:00,1.2111,1.2118,1.2094,1.21
2006-01-05 00:00:00,1.2099,1.2115,1.2084,1.2107
2006-01-05 04:00:00,1.2106,1.2107,1.2067,1.2095
2006-01-05 08:00:00,1.2094,1.2109,1.2077,1.2101
2006-01-05 12:00:00,1.21,1.2117,1.2088,1.2103
2006-01-05 16:00:00,1.2104,1.2128,1.2094,1.2111
2006-01-05 20:00:00,1.2112,1.2116,1.2083,1.2093
2006-01-06 00:00:00,1.2092,1.2099,1.2084,1.2097
2006-01-06 04:00:00,1.2096,1.2106,1.2087,1.2102
2006-01-06 08:00:00,1.2101,1.2182,1.2089,1.2148
2006-01-06 12:00:00,1.2147,1.2169,1.2147,1.2154
2006-01-06 16:00:00,1.2153,1.2155,1.215,1.2153
2006-01-08 16:00:00,1.2149,1.2152,1.2132,1.2151
2006-01-08 20:00:00,1.2152,1.2155,1.2135,1.2145
2006-01-09 00:00:00,1.2144,1.215,1.2084,1.2089
2006-01-09 04:00:00,1.209,1.2097,1.2066,1.2085
2006-01-09 08:00:00,1.2084,1.2093,1.2054,1.2064
2006-01-09 12:00:00,1.2065,1.2097,1.2061,1.2088
2006-01-09 16:00:00,1.2087,1.2092,1.2067,1.2072
2006-01-09 20:00:00,1.2073,1.2084,1.2046,1.2064
2006-01-10 00:00:00,1.2063,1.2091,1.2039,1.2075
2006-01-10 04:00:00,1.2074,1.2111,1.207,1.2077
2006-01-10 08:00:00,1.2076,1.2084,1.2041,1.2062
2006-01-10 12:00:00,1.2061,1.208,1.2059,1.2072
2006-01-10 16:00:00,1.2073,1.2073,1.2055,1.2063
2006-01-10 20:00:00,1.2062,1.2079,1.2055,1.207
2006-01-11 00:00:00,1.2069,1.2072,1.2046,1.2052
2006-01-11 04:00:00,1.2053,1.2099,1.2047,1.2089
2006-01-11 08:00:00,1.2088,1.214,1.2082,1.2135
2006-01-11 12:00:00,1.2136,1.2147,1.2123,1.2127
2006-01-11 16:00:00,1.2126,1.2146,1.2124,1.214
2006-01-11 20:00:00,1.2141,1.2162,1.2136,1.2139
2006-01-12 00:00:00,1.2138,1.2156,1.2133,1.2148
2006-01-12 04:00:00,1.2147,1.2165,1.2124,1.2136
2006-01-12 08:00:00,1.2135,1.2137,1.2009,1.2037
2006-01-12 12:00:00,1.2036,1.2047,1.2022,1.2035
2006-01-12 16:00:00,1.2034,1.2056,1.2027,1.2034
2006-01-12 20:00:00,1.2035,1.2046,1.2031,1.204
2006-01-13 00:00:00,1.2039,1.2076,1.2037,1.2065
2006-01-13 04:00:00,1.2064,1.2086,1.2041,1.2043
2006-01-13 08:00:00,1.2044,1.2115,1.2038,1.2103
2006-01-13 12:00:00,1.2102,1.2145,1.2099,1.2136
2006-01-13 16:00:00,1.2135,1.214,1.2134,1.2136
2006-01-15 16:00:00,1.2151,1.2177,1.2142,1.2164
2006-01-15 20:00:00,1.2165,1.2169,1.2142,1.2159
2006-01-16 00:00:00,1.2158,1.2158,1.2136,1.2147
2006-01-16 04:00:00,1.2146,1.2154,1.2125,1.2131
2006-01-16 08:00:00,1.2132,1.2132,1.2109,1.2122
2006-01-16 12:00:00,1.2121,1.2125,1.2116,1.2123
2006-01-16 16:00:00,1.2122,1.2128,1.2079,1.2086
2006-01-16 20:00:00,1.2085,1.2119,1.2079,1.2118
2006-01-17 00:00:00,1.2119,1.2143,1.2111,1.2134
2006-01-17 04:00:00,1.2133,1.2136,1.2061,1.2088
2006-01-17 08:00:00,1.2087,1.2088,1.2052,1.2074
2006-01-17 12:00:00,1.2075,1.2109,1.207,1.2105
2006-01-17 16:00:00,1.2104,1.2121,1.2095,1.2098
2006-01-17 20:00:00,1.2097,1.2107,1.2081,1.2091
2006-01-18 00:00:00,1.2092,1.2155,1.2078,1.214
2006-01-18 04:00:00,1.2139,1.214,1.2103,1.2123
2006-01-18 08:00:00,1.2122,1.2161,1.2074,1.2083
2006-01-18 12:00:00,1.2084,1.2113,1.2072,1.2109
2006-01-18 16:00:00,1.2109999999999999,1.2125,1.2087,1.2097
2006-01-18 20:00:00,1.2096,1.2105,1.2088,1.2098
2006-01-19 00:00:00,1.2099,1.2109999999999999,1.2063,1.2079
2006-01-19 04:00:00,1.2078,1.2088,1.2068,1.208
2006-01-19 08:00:00,1.2081,1.2127,1.2054,1.2111
2006-01-19 12:00:00,1.2112,1.2121,1.2086,1.2092
2006-01-19 16:00:00,1.2093,1.2102,1.2081,1.2094
2006-01-19 20:00:00,1.2095,1.2095,1.2075,1.2082
2006-01-20 00:00:00,1.2083,1.2091,1.2042,1.207
2006-01-20 04:00:00,1.2071,1.2095,1.2065,1.2076
2006-01-20 08:00:00,1.2075,1.2117,1.2069,1.2101
2006-01-20 12:00:00,1.21,1.2142,1.2094,1.2138
2006-01-20 16:00:00,1.2139,1.2142,1.2137,1.2141
2006-01-22 16:00:00,1.2145,1.2248,1.214,1.2225
2006-01-22 20:00:00,1.2224,1.2261,1.2213,1.2242
2006-01-23 00:00:00,1.2241,1.2257,1.2225,1.2226
2006-01-23 04:00:00,1.2227,1.2295,1.2225,1.2289
2006-01-23 08:00:00,1.2288,1.2291,1.2267,1.2277
2006-01-23 12:00:00,1.2278,1.2309,1.2278,1.2306
2006-01-23 16:00:00,1.2307,1.2324,1.2287,1.2302
2006-01-23 20:00:00,1.2301,1.2303,1.2282,1.2288
2006-01-24 00:00:00,1.2287,1.2312,1.2269,1.2276
2006-01-24 04:00:00,1.2275,1.2291,1.2265,1.2282
2006-01-24 08:00:00,1.2281,1.2288,1.2259,1.2287
2006-01-24 12:00:00,1.2286,1.2303,1.226,1.2283
2006-01-24 16:00:00,1.2282,1.2285,1.2254,1.2273
2006-01-24 20:00:00,1.2272,1.2277,1.2254,1.2271
2006-01-25 00:00:00,1.227,1.229,1.226,1.2287
2006-01-25 04:00:00,1.2287,1.2326,1.2284,1.2307
2006-01-25 08:00:00,1.2307,1.2309999999999999,1.2239,1.2252
2006-01-25 12:00:00,1.2251,1.2281,1.2238,1.2246
2006-01-25 16:00:00,1.2247,1.2258,1.2239,1.2253
2006-01-25 20:00:00,1.2252,1.2263,1.2247,1.2256
2006-01-26 00:00:00,1.2256,1.227,1.224,1.2242
2006-01-26 04:00:00,1.2242,1.2265,1.2233,1.2246
2006-01-26 08:00:00,1.2245,1.2264,1.2225,1.2229999999999999
2006-01-26 12:00:00,1.2229,1.224,1.22,1.2213
2006-01-26 16:00:00,1.2213,1.2224,1.2201,1.2209999999999999
2006-01-26 20:00:00,1.2211,1.2219,1.2195,1.2216
2006-01-27 00:00:00,1.2215,1.2217,1.2195,1.2214
2006-01-27 04:00:00,1.2213,1.2219,1.2167,1.2184
2006-01-27 08:00:00,1.2183,1.2236,1.2116,1.2131
2006-01-27 12:00:00,1.2132,1.2136,1.2087,1.2103
2006-01-27 16:00:00,1.2104,1.2106,1.2098,1.2105
2006-01-29 16:00:00,1.2109,1.2112,1.2091,1.2108
2006-01-29 20:00:00,1.2109,1.2109,1.2086,1.209
2006-01-30 00:00:00,1.209,1.2117,1.2078,1.2089
2006-01-30 04:00:00,1.2088,1.2103,1.2078,1.2085
2006-01-30 08:00:00,1.2084,1.2103,1.2066,1.2092
2006-01-30 12:00:00,1.2092,1.2094,1.2071,1.2088
2006-01-30 16:00:00,1.2089,1.2097,1.208,1.2084
2006-01-30 20:00:00,1.2085,1.2106,1.2083,1.2099
2006-01-31 00:00:00,1.2098,1.2118,1.2089,1.2096
2006-01-31 04:00:00,1.2096,1.213,1.2096,1.2123
2006-01-31 08:00:00,1.2122,1.2163,1.2109999999999999,1.2158
2006-01-31 12:00:00,1.2157,1.2192,1.2121,1.2154
2006-01-31 16:00:00,1.2154,1.216,1.214,1.2145
2006-01-31 20:00:00,1.2146,1.2159,1.2139,1.2157
2006-02-01 00:00:00,1.2158,1.2164,1.2138,1.2144
2006-02-01 04:00:00,1.2144,1.2146,1.2091,1.2109
2006-02-01 08:00:00,1.2108,1.2114,1.2077,1.2092
2006-02-01 12:00:00,1.2092,1.2092,1.2053,1.2063
